iter	RMSE
453	4.016110291
454	4.015610157
455	4.015502852
456	4.012960462
457	4.007464662
458	4.003180644
459	4.002280343
460	3.999785844
461	3.996065229
462	3.99446791
463	3.993638662
464	3.991388988
465	3.987019804
466	3.983458324
467	3.981477037
468	3.976414718
469	3.972361932
470	3.970669594
471	3.970444321
472	3.970307992
473	3.967575972
474	3.964807403
475	3.960068245
476	3.956205379
477	3.952859196
478	3.948935475
479	3.948056736
480	3.947593204
481	3.94474975
482	3.939359575
483	3.937399275
484	3.934300483
485	3.930722792
486	3.92927431
487	3.92744621
488	3.927352417
489	3.923493988
490	3.920194601
491	3.920016269
492	3.915551078
493	3.912069698
494	3.910425916
495	3.909385153
496	3.90671419
497	3.90358201
498	3.901101539
499	3.897989754
500	3.897180893
501	3.897137774
502	3.892447186
503	3.888747894
504	3.887109982
505	3.884359714
506	3.882680781
507	3.877671462
508	3.872578311
509	3.871730967
510	3.867906106
511	3.865830437
512	3.864310265
513	3.861837865
514	3.861719946
515	3.858176519
516	3.855075279
517	3.853321377
518	3.848430697
519	3.847197024
520	3.846592453
521	3.844812862
522	3.841205705
523	3.839270303
524	3.835458781
525	3.832327703
526	3.827602837
527	3.824088555
528	3.823656605
529	3.822272485
530	3.820221173
531	3.818810729
532	3.817067453
533	3.81372313
534	3.810501838
535	3.808402044
536	3.806217954
537	3.805493678
538	3.802939927
539	3.802058553
540	3.799899346
541	3.798205707
542	3.794682928
543	3.791420106
544	3.790710397
545	3.788856384
546	3.783665183
547	3.783223881
548	3.780205225
549	3.776944383
550	3.774108965
551	3.773055119
552	3.770317489
553	3.769615134
554	3.766554871
555	3.763838831
556	3.760417548
557	3.758107832
558	3.755155772
559	3.755024005
560	3.753556228
561	3.751603752
562	3.748759458
563	3.748384466
564	3.747874466
565	3.747682799
566	3.746192873
567	3.742096367
568	3.740481138
569	3.734886273
570	3.732711513
571	3.72976719
572	3.728092173
573	3.72623771
574	3.725825187
575	3.72235311
576	3.719314869
577	3.71847499
578	3.716369093
579	3.715134351
580	3.7122526
581	3.708948735
582	3.707229817
583	3.706833939
584	3.703800801
585	3.703104668
586	3.702729639
587	3.701168337
588	3.700951484
589	3.698906074
590	3.698603147
591	3.695389951
592	3.693960252
593	3.692710492
594	3.691227304
595	3.68784814
596	3.686356036
597	3.685431332
598	3.682586661
599	3.679855528
600	3.676323116
601	3.676056858
602	3.675242089
603	3.669966697
604	3.667572323
605	3.664945358
606	3.660876596
607	3.659501815
608	3.656162187
609	3.655283789
610	3.653752385
611	3.649720728
612	3.648555234
613	3.643787741
614	3.643632646
615	3.641520692
616	3.639853926
617	3.639692199
618	3.639608884
619	3.638838092
620	3.638293976
621	3.636396305
622	3.634930518
623	3.630811509
624	3.62848023
625	3.628135286
626	3.626625806
627	3.624793899
628	3.624746437
629	3.620810565
630	3.617007288
631	3.614916469
632	3.611905856
633	3.610721265
634	3.610649255
635	3.609822556
636	3.606893543
637	3.605466694
638	3.604502711
639	3.602001969
640	3.601610835
641	3.60086114
642	3.599970463
643	3.598426979
644	3.5946819
645	3.593274711
646	3.593164401
647	3.590635851
648	3.58916981
649	3.589027809
650	3.587818876
651	3.586989807
652	3.5848194
653	3.58225302
654	3.579336899
655	3.57756689
656	3.572307892
657	3.570200139
658	3.566744617
659	3.562281947
660	3.558860806
661	3.557698759
662	3.554915947
663	3.554329894
664	3.550813497
665	3.550271866
666	3.546964999
667	3.542491198
668	3.54108116
669	3.538182179
670	3.537635643
671	3.536928023
672	3.534590755
673	3.533998371
674	3.530913075
675	3.529471902
676	3.527608303
677	3.526642625
678	3.524145554
679	3.522412524
680	3.52130295
681	3.520888632
682	3.518900557
683	3.515952168
684	3.513618535
685	3.512398245
686	3.507939752
687	3.50669923
688	3.501677139
689	3.500438142
690	3.499106652
691	3.496807324
692	3.494300813
693	3.491518524
694	3.491458899
695	3.490155777
696	3.488833882
697	3.482764779
698	3.481333898
699	3.479038437
700	3.476180437
701	3.474990801
702	3.472445645
703	3.470749311
704	3.470585096
705	3.468737608
706	3.468688572
707	3.46764694
708	3.466268947
709	3.462433207
710	3.46107453
711	3.458656126
712	3.457078883
713	3.453447679
714	3.452093246
715	3.45088593
716	3.448809589
717	3.446118312
718	3.44468828
719	3.442274037
720	3.441132922
721	3.439862761
722	3.437372378
723	3.437187035
724	3.435476858
725	3.435333665
726	3.433414798
727	3.432124673
728	3.429588936
729	3.426741563
730	3.424210212
731	3.42355803
732	3.421238272
733	3.420205277
734	3.418818236
735	3.417276639
736	3.415565226
737	3.414699123
738	3.413197239
739	3.412514337
740	3.40867013
741	3.407289729
742	3.406069288
743	3.402727632
744	3.401318957
745	3.397845265
746	3.394647358
747	3.394064189
748	3.391836503
749	3.390444556
750	3.388759633
751	3.386780094
752	3.383044737
753	3.382147137
754	3.381958365
755	3.37834288
756	3.375683219
757	3.374426154
758	3.374190001
759	3.372176363
760	3.370523104
761	3.36839114
762	3.365074201
763	3.364960945
764	3.363617813
765	3.362277677
766	3.36169639
767	3.358354281
768	3.357985383
769	3.353411995
770	3.353229576
771	3.352200056
772	3.350526411
773	3.347741582
774	3.346780375
775	3.344966523
776	3.34488521
777	3.344185576
778	3.341708644
779	3.339282207
780	3.338028661
781	3.336905739
782	3.33372689
783	3.332990758
784	3.329705356
785	3.329300374
786	3.326400797
787	3.324461037
788	3.323523253
789	3.321775484
790	3.319778516
791	3.317461951
792	3.315392252
793	3.314213196
794	3.313145855
795	3.31170145
796	3.311003896
797	3.310612228
798	3.309192972
799	3.305852784
800	3.303327186
801	3.302257491
802	3.301177707
803	3.297799696
804	3.296854786
805	3.296396573
806	3.294747488
807	3.293639284
808	3.293435989
809	3.29278798
810	3.292032587
811	3.288861589
812	3.286466262
813	3.285302867
814	3.283950934
815	3.281825731
816	3.279819106
817	3.278155595
818	3.278114938
819	3.277027081
820	3.276431162
821	3.275695457
822	3.274321492
823	3.271694147
824	3.26996346
825	3.268234959
826	3.267300409
827	3.26691422
828	3.264623485
829	3.26382105
830	3.261940793
831	3.260509903
832	3.258442005
833	3.257741638
834	3.256038588
835	3.254060911
836	3.252468543
837	3.251543225
838	3.248719307
839	3.246689034
840	3.245620984
841	3.244123242
842	3.244094861
843	3.242459519
844	3.241396131
845	3.239616411
846	3.238977299
847	3.236990188
848	3.234553151
849	3.233129661
850	3.232682665
851	3.231345071
852	3.230287572
853	3.230076508
854	3.228289574
855	3.227316539
856	3.225863867
857	3.225361354
858	3.224652195
859	3.221934039
860	3.218969792
861	3.215952662
862	3.214000565
863	3.212441813
864	3.209764118
865	3.207962707
866	3.20685682
867	3.204053922
868	3.202761677
869	3.199699765
870	3.199558417
871	3.198091958
872	3.197735102
873	3.19763151
874	3.196029367
875	3.193253333
876	3.189439915
877	3.187369627
878	3.184225247
879	3.181253417
880	3.180123799
881	3.179893895
882	3.17705405
883	3.17627064
884	3.175648045
885	3.174708598
886	3.17228901
887	3.171660495
888	3.168814787
889	3.16782598
890	3.165117613
891	3.164092145
892	3.161895614
893	3.161343732
894	3.158978402
895	3.157092756
896	3.154979654
897	3.154176782
898	3.153170752
899	3.152871074
900	3.151636733
901	3.149846815
902	3.145665419
903	3.143174126
904	3.141627008
905	3.140924485
906	3.139637379
907	3.138867571
908	3.137061656
909	3.134714423
910	3.132829855
911	3.130314256
912	3.127439399
913	3.127105161
914	3.123252627
915	3.121567991
916	3.120977678
917	3.117274492
918	3.116308246
919	3.115779324
920	3.115361181
921	3.114997576
922	3.11360213
923	3.109908438
924	3.107370288
925	3.107233682
926	3.103926987
927	3.102981485
928	3.101984884
929	3.101350398
930	3.098579848
931	3.096802489
932	3.095715515
933	3.094690705
934	3.093533825
935	3.09301389
936	3.092311222
937	3.091793009
938	3.088113241
939	3.086410675
940	3.085146468
941	3.084437536
942	3.082103228
943	3.081822595
944	3.080151495
945	3.078672732
946	3.075937233
947	3.073968784
948	3.073598445
949	3.072895611
950	3.070250435
951	3.069584229
952	3.067395643
953	3.066443411
954	3.065192859
955	3.062549968
956	3.060973514
957	3.060181449
958	3.059650904
959	3.058310133
960	3.056842346
961	3.056027946
962	3.054587709
963	3.053721694
964	3.053217431
965	3.05164084
966	3.04796041
967	3.04535919
968	3.043611817
969	3.040947975
970	3.039359322
971	3.039191899
972	3.037258857
973	3.034203916
974	3.031742823
975	3.029077495
976	3.027066848
977	3.026142848
978	3.024152036
979	3.02315363
980	3.022288153
981	3.020745312
982	3.019475703
983	3.019300085
984	3.017253203
985	3.014512708
986	3.012266211
987	3.010812183
988	3.008974202
989	3.008275611
990	3.006235619
991	3.006163173
992	3.005376176
993	3.004718936
994	3.004393889
995	3.001171631
996	3.000112946
997	2.997639445
998	2.997206835
999	2.996334392
